id_dep,nome,deputado,partido,UF,tema_1,tema_2,tema_3,tema_4,tema_5,tema_6,tema_7,tema_8,tema_9,tema_10,tema_11,tema_12,tema_13,tema_14,tema_15,tema_16,tema_17,tema_18,tema_19,IMPEACHMENT
178864,AdailCarneiro,Adail Carneiro,phs,CE,sim,sim,sim,sim,nao,nao,sim,sim,sim,sim,sim,sim,nao,sim,nao,sim,nao,sim,nao,sim
178914,AdalbertoCavalcanti,Adalberto Cavalcanti,ptb,PE,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,nao votou,sim,sim,nao votou,nao votou,sim,sim,sim,sim,nao
178890,AdelmoCarneiroLeao,Adelmo Carneiro Leão,pt,MG,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,nao votou,nao votou,nao
178968,AdelsonBarreto,Adelson Barreto,ptb,SE,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao,sim,sim,sim,sim,sim
178903,AdiltonSachetti,Adilton Sachetti,psb,MT,sim,nao,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,sim,nao,sim,sim,sim,sim,sim
141372,AeltonFreitas,Aelton Freitas,pr,MG,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao
160508,AfonsoFlorence,Afonso Florence,pt,BA,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
136811,AfonsoHamm,Afonso Hamm,pp,RS,sim,sim,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,nao,nao,nao,sim,nao,sim,sim,sim
178835,AfonsoMotta,Afonso Motta,pdt,RS,sim,nao,sim,sim,nao,nao,nao,nao,sim,nao,sim,sim,sim,nao,nao,sim,nao,sim,sim,nao
160527,AguinaldoRibeiro,Aguinaldo Ribeiro,pp,PB,sim,sim,sim,nao,nao votou,nao votou,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,nao,sim,sim,sim
178836,AlanRick,Alan Rick,prb,AC,nao,sim,sim,sim,sim,sim,sim,nao,sim,nao,sim,sim,sim,sim,nao,sim,nao,sim,sim,sim
160582,AlbertoFilho,Alberto Filho,pmdb,MA,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim
73579,AlbertoFraga,Alberto Fraga,dem,DF,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,nao,sim,sim,sim
160559,AlceuMoreira,Alceu Moreira,pmdb,RS,sim,nao,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,sim,nao,sim,sim,sim
160511,AlessandroMolon,Alessandro Molon,pt,RJ,nao votou,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
160511,AlessandroMolon,Alessandro Molon,rede,RJ,nao,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao
178875,AlexandreBaldy,Alexandre Baldy,psdb,GO,sim,nao votou,sim,nao votou,sim,sim,nao votou,nao votou,sim,nao votou,sim,nao votou,nao votou,nao,nao,sim,sim,sim,nao,sim
160545,AlexandreLeite,Alexandre Leite,dem,SP,sim,nao votou,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,nao,nao,sim,sim,sim,sim,sim
178833,AlexandreSerfiotis,Alexandre Serfiotis,psd,RJ,nao,sim,nao,sim,sim,sim,sim,sim,sim,nao,nao,sim,nao votou,sim,nao,nao,nao,sim,nao,sim
178936,AlexandreValle,Alexandre Valle,prp,RJ,sim,sim,sim,sim,nao votou,nao votou,sim,sim,sim,nao,sim,sim,sim,sim,nao,sim,sim,sim,nao,sim
73458,AlexCanziani,Alex Canziani,ptb,PR,sim,nao votou,sim,nao votou,nao,nao,sim,sim,sim,nao,sim,nao,sim,sim,sim,nao,nao votou,sim,nao,sim
178972,AlexManente,Alex Manente,pps,SP,sim,sim,sim,sim,sim,sim,nao,nao,sim,nao,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim
141454,AlfredoKaefer,Alfredo Kaefer,psdb,PR,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao,nao,sim,nao,sim,nao,sim
178846,AlfredoNascimento,Alfredo Nascimento,pr,AM,sim,sim,sim,sim,nao votou,nao votou,sim,sim,sim,nao,sim,sim,nao votou,sim,sim,nao votou,nao votou,nao votou,nao votou,sim
74057,AlicePortugal,Alice Portugal,pcdob,BA,nao,nao,sim,nao votou,nao,nao votou,nao,nao,nao,sim,nao,sim,sim,nao votou,sim,nao,nao,sim,nao,nao
178927,AlielMachado,Aliel Machado,rede,PR,nao,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao votou,nao
178927,AlielMachado,Aliel Machado,pcdob,PR,nao votou,sim,sim,nao,nao,nao,nao,nao,nao,sim,nao,sim,sim,sim,nao,nao,nao votou,sim,nao,nao
178937,AltineuCortes,Altineu Côrtes,pr,RJ,sim,sim,nao votou,sim,sim,sim,nao votou,sim,sim,nao,sim,sim,nao votou,sim,nao votou,sim,nao,sim,sim,sim
178881,AluisioMendes,Aluisio Mendes,psdc,MA,sim,sim,sim,nao,sim,sim,sim,nao,sim,nao,sim,sim,nao,sim,sim,nao,nao,nao,sim,nao
178973,AnaPerugini,Ana Perugini,pt,SP,nao,sim,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
160551,AndersonFerreira,Anderson Ferreira,pr,PE,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,sim,sim,nao votou,sim,nao,sim
178831,AndreAbdon,André Abdon,prb,AP,sim,sim,sim,sim,sim,sim,sim,nao,sim,nao,sim,sim,nao,sim,sim,nao,nao,sim,nao,sim
178882,AndreFufuca,André Fufuca,pen,MA,sim,nao,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim
160543,AndreMoura,Andre Moura,psc,SE,nao votou,nao votou,nao,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,sim,nao votou,nao,sim,nao votou,sim,sim,sim
178974,AndresSanchez,Andres Sanchez,pt,SP,nao,sim,sim,sim,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
178837,Angelim,Angelim,pt,AC,nao,nao votou,sim,nao,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
74212,AnibalGomes,Aníbal Gomes,pmdb,CE,sim,nao votou,sim,sim,sim,sim,sim,sim,nao votou,sim,nao votou,sim,nao,sim,sim,nao votou,nao votou,sim,nao votou,nao votou
160553,AntonioBrito,Antonio Brito,ptb,BA,nao votou,nao votou,sim,sim,nao,nao,sim,sim,sim,sim,sim,sim,nao votou,nao,nao votou,nao,nao,sim,sim,nao
141383,AntonioBulhoes,Antonio Bulhões,prb,SP,sim,sim,sim,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim,sim,nao,nao,sim,nao,sim
160530,AntonioImbassahy,Antonio Imbassahy,psdb,BA,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao,nao,nao,sim,sim,nao,sim
178950,AntonioJacome,Antônio Jácome,pmn,RN,nao,sim,sim,sim,sim,sim,sim,nao,nao votou,nao,sim,sim,nao votou,nao,nao,nao,sim,sim,sim,sim
73433,ArlindoChinaglia,Arlindo Chinaglia,pt,SP,nao,nao votou,sim,nao votou,nao,nao,nao,nao,nao,nao,nao,sim,sim,sim,sim,sim,nao,sim,nao,nao
73434,ArnaldoFariadeSa,Arnaldo Faria de Sá,ptb,SP,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,sim,sim,nao,nao,nao,sim,sim,nao,sim
160602,ArnaldoJordy,Arnaldo Jordy,pps,PA,sim,nao votou,nao votou,sim,nao,nao,nao,nao,nao,nao,nao,sim,sim,nao,nao,nao,sim,sim,nao,sim
74291,ArnonBezerra,Arnon Bezerra,ptb,CE,sim,nao votou,nao votou,sim,sim,nao,sim,sim,sim,sim,sim,nao,nao votou,sim,sim,nao votou,nao votou,sim,nao votou,nao
160541,ArthurLira,Arthur Lira,pp,AL,sim,nao,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao,sim,sim,nao,nao votou,nao votou,nao votou,sim
160600,ArthurOliveiraMaia,Arthur Oliveira Maia,solidaried,BA,sim,nao votou,sim,sim,sim,sim,sim,sim,sim,sim,nao votou,sim,nao votou,nao,nao,nao votou,nao votou,sim,nao votou,sim
178847,ArthurVirgilioBisneto,Arthur Virgílio Bisneto,psdb,AM,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,sim,nao,nao,sim,nao,sim,nao,sim
